nuclide,half_life,group,freq_pct,E_avg_keV,E_max_keV,E_keV
133I,20.8 h,beta,3.74,139.7,461.8,
133I,20.8 h,beta,3.12,161.5,523.6,
133I,20.8 h,beta,4.15,298.5,884.7,
133I,20.8 h,beta,1.81,351.6,1016.2,
133I,20.8 h,beta,83.52,440.6,1230.1,
133I,20.8 h,beta,1.07,573.2,1526.8,
133I,20.8 h,gamma_xray,1.81,,,510.5
133I,20.8 h,gamma_xray,86.31,,,529.9
133I,20.8 h,gamma_xray,1.49,,,706.6
133I,20.8 h,gamma_xray,1.23,,,856.3
133I,20.8 h,gamma_xray,4.47,,,875.3
133I,20.8 h,gamma_xray,1.49,,,1236.4
133I,20.8 h,gamma_xray,2.33,,,1298.2
135I,6.61 h,beta,1.04,86.4,302.4,
135I,6.61 h,beta,1.41,103.1,353.8,
135I,6.61 h,beta,4.79,137.5,455.5,
135I,6.61 h,beta,7.42,145.4,478,
135I,6.61 h,beta,1.59,195.9,618.1,
135I,6.61 h,beta,1.11,213.4,665.1,
135I,6.61 h,beta,8,242.9,742.7,
135I,6.61 h,beta,8.81,312.5,919.8,
135I,6.61 h,beta,21.77,358.4,1032.9,
135I,6.61 h,beta,8.1,405.1,1145.7,
135I,6.61 h,beta,7.7,450.4,1253.4,
135I,6.61 h,beta,24.1,534.9,1450.6,
135I,6.61 h,beta,1.11,591.1,1579.5,
135I,continued,gamma_xray,1.75,,,220.5
135I,continued,gamma_xray,3.09,,,288.5
135I,continued,gamma_xray,3.52,,,417.6
135I,continued,gamma_xray,7.13,,,546.6
135I,continued,gamma_xray,6.67,,,836.8
135I,continued,gamma_xray,1.2,,,972.6
135I,continued,gamma_xray,7.93,,,1038.8
135I,continued,gamma_xray,1.6,,,1101.6
135I,continued,gamma_xray,3.61,,,1124
135I,continued,gamma_xray,22.53,,,1131.5
135I,continued,gamma_xray,28.63,,,1260.4
135I,continued,gamma_xray,8.65,,,1457.6
135I,continued,gamma_xray,1.07,,,1502.8
135I,continued,gamma_xray,1.29,,,1566.4
135I,continued,gamma_xray,9.53,,,1678
135I,continued,gamma_xray,4.09,,,1706.5
135I,continued,gamma_xray,7.7,,,1791.2
127Xe,36.4 d,conversion_auger_electron,1.18,,,23
127Xe,36.4 d,conversion_auger_electron,1.06,,,23.3
127Xe,36.4 d,conversion_auger_electron,3.08,,,23.6
127Xe,36.4 d,conversion_auger_electron,1.33,,,23.9
127Xe,36.4 d,conversion_auger_electron,3.93,,,24.4
127Xe,36.4 d,conversion_auger_electron,1.15,,,27.1
127Xe,36.4 d,conversion_auger_electron,1.5,,,27.7
127Xe,36.4 d,conversion_auger_electron,1.54,,,112.1
127Xe,36.4 d,conversion_auger_electron,3.65,,,139
127Xe,36.4 d,conversion_auger_electron,6.62,,,169.7
127Xe,36.4 d,gamma_xray,24.98,,,28.3
127Xe,36.4 d,gamma_xray,46.43,,,28.6
127Xe,36.4 d,gamma_xray,4.55,,,32.2
127Xe,36.4 d,gamma_xray,8.82,,,32.3
127Xe,36.4 d,gamma_xray,2.83,,,33.1
127Xe,36.4 d,gamma_xray,1.23,,,57.6
127Xe,36.4 d,gamma_xray,4.29,,,145.3
127Xe,36.4 d,gamma_xray,25.54,,,172.1
127Xe,36.4 d,gamma_xray,68.3,,,202.9
127Xe,36.4 d,gamma_xray,17.21,,,375
133mXe,2.188 d,conversion_auger_electron,1.83,,,24.5
133mXe,2.188 d,conversion_auger_electron,63.51,,,198.6
133mXe,2.188 d,conversion_auger_electron,11.87,,,227.7
133mXe,2.188 d,conversion_auger_electron,2.56,,,228.1
133mXe,2.188 d,conversion_auger_electron,6.26,,,228.4
133mXe,2.188 d,conversion_auger_electron,4.57,,,232.2
133mXe,2.188 d,conversion_auger_electron,1.23,,,233.2
133mXe,2.188 d,gamma_xray,16.05,,,29.5
133mXe,2.188 d,gamma_xray,29.78,,,29.8
133mXe,2.188 d,gamma_xray,2.94,,,33.6
133mXe,2.188 d,gamma_xray,5.72,,,33.6
133mXe,2.188 d,gamma_xray,1.91,,,34.4
133mXe,2.188 d,gamma_xray,9.99,,,233.2
133Xe,5.245 d,beta,99.33,100.5,346,
133Xe,5.245 d,conversion_auger_electron,1.44,,,25.5
133Xe,5.245 d,conversion_auger_electron,53.54,,,45
133Xe,5.245 d,conversion_auger_electron,6.52,,,75.3
133Xe,5.245 d,conversion_auger_electron,1.45,,,80
133Xe,5.245 d,gamma_xray,13.71,,,30.6
133Xe,5.245 d,gamma_xray,25.34,,,31
133Xe,5.245 d,gamma_xray,2.52,,,34.9
133Xe,5.245 d,gamma_xray,4.89,,,35
133Xe,5.245 d,gamma_xray,1.7,,,35.8
133Xe,5.245 d,gamma_xray,37.42,,,81
135mXe,continued,conversion_auger_electron,15.59,,,492
135mXe,continued,conversion_auger_electron,2.26,,,521.1
135mXe,continued,gamma_xray,3.94,,,29.5
135mXe,continued,gamma_xray,7.31,,,29.8
135mXe,continued,gamma_xray,1.4,,,33.6
135mXe,continued,gamma_xray,80.66,,,526.6
135Xe,9.09 h,beta,3.12,170.7,549.8,
135Xe,9.09 h,beta,96,307.4,908.2,
135Xe,9.09 h,conversion_auger_electron,5.64,,,213.8
135Xe,9.09 h,gamma_xray,1.46,,,30.6
135Xe,9.09 h,gamma_xray,2.7,,,31
135Xe,9.09 h,gamma_xray,90.13,,,249.8
135Xe,9.09 h,gamma_xray,2.9,,,608.2
138Xe,14.17 min,beta,3.06,150.2,492.4,
138Xe,14.17 min,beta,9.46,176.9,566.9,
138Xe,14.17 min,beta,32.55,266,803.3,
138Xe,14.17 min,beta,20.01,948.9,2379.8,
138Xe,14.17 min,beta,13.34,966.2,2417.9,
138Xe,14.17 min,beta,5.57,1036.7,2571.6,
138Xe,14.17 min,beta,4.98,1139.5,2819.2,
138Xe,14.17 min,beta,8.96,1148.5,2814.3,
138Xe,continued,conversion_auger_electron,2.56,,,10.9
138Xe,continued,conversion_auger_electron,1.74,,,117.8
138Xe,continued,conversion_auger_electron,1.8,,,222.3
138Xe,continued,gamma_xray,1.15,,,30.6
138Xe,continued,gamma_xray,2.12,,,31
138Xe,continued,gamma_xray,5.95,,,153.7
138Xe,continued,gamma_xray,3.5,,,242.6
138Xe,continued,gamma_xray,31.5,,,258.3
138Xe,continued,gamma_xray,6.3,,,396.4
138Xe,continued,gamma_xray,2.17,,,401.4
138Xe,continued,gamma_xray,20.32,,,434.5
138Xe,continued,gamma_xray,1.47,,,1114.3
138Xe,continued,gamma_xray,16.73,,,1768.3
138Xe,continued,gamma_xray,1.42,,,1850.9
138Xe,continued,gamma_xray,5.35,,,2004.7
138Xe,continued,gamma_xray,12.25,,,2015.8
138Xe,continued,gamma_xray,1.44,,,2079.2
138Xe,continued,gamma_xray,2.29,,,2252.3
129Cs,32.06 h,conversion_auger_electron,1.33,,,23.9
129Cs,32.06 h,conversion_auger_electron,1.19,,,24.2
129Cs,32.06 h,conversion_auger_electron,3.38,,,24.5
129Cs,32.06 h,conversion_auger_electron,1.47,,,24.9
129Cs,32.06 h,conversion_auger_electron,1.29,,,28.1
129Cs,32.06 h,conversion_auger_electron,1.68,,,28.8
129Cs,32.06 h,conversion_auger_electron,3.81,,,34.1
129Cs,32.06 h,gamma_xray,29.74,,,29.5
129Cs,32.06 h,gamma_xray,55.18,,,29.8
129Cs,32.06 h,gamma_xray,5.45,,,33.6
129Cs,32.06 h,gamma_xray,10.6,,,33.6
129Cs,32.06 h,gamma_xray,3.53,,,34.4
129Cs,32.06 h,gamma_xray,2.99,,,39.6
129Cs,32.06 h,gamma_xray,1.33,,,278.6
129Cs,32.06 h,gamma_xray,2.46,,,318.2
129Cs,32.06 h,gamma_xray,30.8,,,371.9
129Cs,32.06 h,gamma_xray,22.45,,,411.5
129Cs,32.06 h,gamma_xray,3.42,,,548.9
130Cs,29.9 min,positron,44.02,893,1988,
130Cs,29.9 min,conversion_auger_electron,1.36,,,24.5
130Cs,29.9 min,gamma_xray,11.95,,,29.5
130Cs,29.9 min,gamma_xray,22.16,,,29.8
130Cs,29.9 min,gamma_xray,2.19,,,33.6
130Cs,29.9 min,gamma_xray,4.26,,,33.6
130Cs,29.9 min,gamma_xray,1.42,,,34.4
130Cs,29.9 min,gamma_xray,89.29,,,511
130Cs,29.9 min,gamma_xray,4.1,,,536.1
131Cs,9.69 d,conversion_auger_electron,2.39,,,24.5
131Cs,9.69 d,conversion_auger_electron,1.04,,,24.9
131Cs,9.69 d,conversion_auger_electron,1.19,,,28.8
131Cs,9.69 d,gamma_xray,21.02,,,29.5
131Cs,9.69 d,gamma_xray,38.99,,,29.8
131Cs,9.69 d,gamma_xray,3.85,,,33.6
131Cs,9.69 d,gamma_xray,7.49,,,33.6
131Cs,9.69 d,gamma_xray,2.5,,,34.4
134mCs,2.91 h,conversion_auger_electron,16.03,,,10.2
134mCs,2.91 h,conversion_auger_electron,3.92,,,11.2
134mCs,2.91 h,conversion_auger_electron,35.18,,,91.5
134mCs,2.91 h,conversion_auger_electron,3.01,,,121.8
134mCs,2.91 h,conversion_auger_electron,19.6,,,122.1
134mCs,2.91 h,conversion_auger_electron,18.33,,,122.5
134mCs,2.91 h,conversion_auger_electron,9.13,,,126.5
134mCs,2.91 h,conversion_auger_electron,2.3,,,127.5
134mCs,continued,gamma_xray,9.03,,,30.6
134mCs,continued,gamma_xray,16.68,,,31
134mCs,continued,gamma_xray,1.66,,,34.9
134mCs,continued,gamma_xray,3.22,,,35
134mCs,continued,gamma_xray,1.12,,,35.8
134mCs,continued,gamma_xray,12.7,,,127.5
134Cs,2.062 y,beta,27.28,23.1,88.6,
134Cs,2.062 y,beta,2.47,123.4,415.2,
134Cs,2.062 y,beta,69.8,210.1,657.9,
134Cs,2.062 y,gamma_xray,1.46,,,475.4
134Cs,2.062 y,gamma_xray,8.38,,,563.2
134Cs,2.062 y,gamma_xray,15.43,,,569.3
134Cs,2.062 y,gamma_xray,97.56,,,604.7
134Cs,2.062 y,gamma_xray,85.44,,,795.8
134Cs,2.062 y,gamma_xray,8.73,,,801.9
134Cs,2.062 y,gamma_xray,1.8,,,1167.9
134Cs,2.062 y,gamma_xray,3.04,,,1365.2
137Cs,30.0 y,beta,94.43,173.4,511.5,
137Cs,30.0 y,beta,5.57,424.6,1173.2,
131Ba,continued,conversion_auger_electron,1.17,,,24.8
131Ba,continued,conversion_auger_electron,1.05,,,25.1
131Ba,continued,conversion_auger_electron,2.92,,,25.5
131Ba,continued,conversion_auger_electron,1.27,,,25.8
131Ba,continued,conversion_auger_electron,1.14,,,29.2
131Ba,continued,conversion_auger_electron,1.48,,,29.9
131Ba,continued,conversion_auger_electron,1.17,,,42.8
131Ba,continued,conversion_auger_electron,18.13,,,87.8
131Ba,continued,conversion_auger_electron,1.69,,,118.1
131Ba,continued,conversion_auger_electron,2.08,,,118.4
131Ba,continued,conversion_auger_electron,2.23,,,118.8
131Ba,continued,conversion_auger_electron,1.28,,,122.8
131Ba,continued,conversion_auger_electron,1.83,,,180.1
131Ba,continued,gamma_xray,27.72,,,30.6
131Ba,continued,gamma_xray,51.24,,,31
131Ba,continued,gamma_xray,5.1,,,34.9
131Ba,continued,gamma_xray,9.89,,,35
131Ba,continued,gamma_xray,3.43,,,35.8
131Ba,continued,gamma_xray,29.05,,,123.8
131Ba,continued,gamma_xray,2.19,,,133.6
131Ba,continued,gamma_xray,19.9,,,216.1
131Ba,continued,gamma_xray,2.41,,,239.6
131Ba,continued,gamma_xray,2.81,,,249.4
131Ba,continued,gamma_xray,13.33,,,373.3
131Ba,continued,gamma_xray,1.29,,,404
131Ba,continued,gamma_xray,1.89,,,486.5
131Ba,continued,gamma_xray,43.78,,,496.3
131Ba,continued,gamma_xray,1.23,,,585
131Ba,continued,gamma_xray,1.57,,,620
131Ba,continued,gamma_xray,1.19,,,1047.6
133mBa,38.9 h,conversion_auger_electron,15.85,,,11.2
133mBa,38.9 h,conversion_auger_electron,5.36,,,12.3
133mBa,38.9 h,conversion_auger_electron,1.47,,,26.4
133mBa,38.9 h,conversion_auger_electron,59.24,,,238.6
133mBa,38.9 h,conversion_auger_electron,10.87,,,270.1
133mBa,38.9 h,conversion_auger_electron,2.31,,,270.5
133mBa,38.9 h,conversion_auger_electron,4.88,,,270.8
133mBa,38.9 h,conversion_auger_electron,4.04,,,275
133mBa,38.9 h,conversion_auger_electron,1.16,,,276.1
133mBa,continued,gamma_xray,1.39,,,12.3
133mBa,continued,gamma_xray,15.18,,,31.8
133mBa,continued,gamma_xray,27.95,,,32.2
133mBa,continued,gamma_xray,2.8,,,36.3
133mBa,continued,gamma_xray,5.42,,,36.4
133mBa,continued,gamma_xray,1.96,,,37.3
133mBa,continued,gamma_xray,17.51,,,276.1
135mBa,28.7 h,conversion_auger_electron,1.5,,,26.4
135mBa,28.7 h,conversion_auger_electron,60.16,,,230.8
135mBa,28.7 h,conversion_auger_electron,11.17,,,262.2
135mBa,28.7 h,conversion_auger_electron,2.39,,,262.6
135mBa,28.7 h,conversion_auger_electron,5.22,,,263
135mBa,28.7 h,conversion_auger_electron,4.21,,,267.2
135mBa,28.7 h,conversion_auger_electron,1.21,,,268.2
135mBa,28.7 h,gamma_xray,15.41,,,31.8
135mBa,28.7 h,gamma_xray,28.39,,,32.2
135mBa,28.7 h,gamma_xray,2.84,,,36.3
135mBa,28.7 h,gamma_xray,5.51,,,36.4
135mBa,28.7 h,gamma_xray,1.99,,,37.3
135mBa,28.7 h,gamma_xray,15.64,,,268.2
137mBa,2.552 min,conversion_auger_electron,8.32,,,624.2
137mBa,2.552 min,conversion_auger_electron,1.19,,,655.7
137mBa,2.552 min,gamma_xray,2.13,,,31.8
137mBa,2.552 min,gamma_xray,3.92,,,32.2
137mBa,2.552 min,gamma_xray,89.78,,,661.6
140Ba,12.74 d,beta,24.6,136.5,453.9,
140Ba,12.74 d,beta,9.82,176.6,567.4,
140Ba,12.74 d,beta,3.8,305.6,872.4,
140Ba,12.74 d,beta,38.86,339.6,991.2,
140Ba,12.74 d,beta,22.92,356.9,1005,
140Ba,12.74 d,conversion_auger_electron,10.82,,,12.7
140Ba,12.74 d,conversion_auger_electron,2.57,,,13.9
140Ba,12.74 d,conversion_auger_electron,53.82,,,23.7
140Ba,12.74 d,conversion_auger_electron,5.62,,,24.1
140Ba,12.74 d,conversion_auger_electron,2.45,,,24.5
140Ba,12.74 d,conversion_auger_electron,12.8,,,28.8
140Ba,12.74 d,conversion_auger_electron,3.45,,,30
140Ba,12.74 d,conversion_auger_electron,1.48,,,123.7
140Ba,12.74 d,gamma_xray,1.22,,,13.9
140Ba,12.74 d,gamma_xray,13.78,,,30
140Ba,12.74 d,gamma_xray,1.01,,,33.4
140Ba,12.74 d,gamma_xray,6.21,,,162.6
140Ba,12.74 d,gamma_xray,4.3,,,304.9
140Ba,12.74 d,gamma_xray,3.15,,,423.7
140Ba,12.74 d,gamma_xray,1.93,,,437.6
140Ba,12.74 d,gamma_xray,24.39,,,537.3
140La,40.272 h,beta,11.12,440.8,1238.2,
140La,40.272 h,beta,5.71,443.2,1243.9,
140La,40.272 h,beta,5.61,465,1295.7,
140La,40.272 h,beta,44.87,487.1,1347.7,
140La,40.272 h,beta,5.11,514.4,1411.8,
140La,40.272 h,beta,20.83,629.2,1676.5,
140La,40.272 h,beta,4.81,845.8,2163.5,
140La,continued,gamma_xray,1.05,,,34.7
140La,continued,gamma_xray,20.74,,,328.8
140La,continued,gamma_xray,2.99,,,432.5
140La,continued,gamma_xray,45.94,,,487
140La,continued,gamma_xray,4.41,,,751.8
140La,continued,gamma_xray,23.64,,,815.8
140La,continued,gamma_xray,5.59,,,867.8
140La,continued,gamma_xray,2.68,,,919.6
140La,continued,gamma_xray,7.05,,,925.2
140La,continued,gamma_xray,95.4,,,1596.5
140La,continued,gamma_xray,3.43,,,2521.7
141Ce,32.50 d,beta,70.2,130,435.9,
141Ce,32.50 d,beta,29.8,181.1,581.3,
141Ce,32.50 d,conversion_auger_electron,18.71,,,103.5
141Ce,32.50 d,conversion_auger_electron,2.35,,,138.6
141Ce,32.50 d,gamma_xray,4.86,,,35.6
141Ce,32.50 d,gamma_xray,8.87,,,36
141Ce,32.50 d,gamma_xray,1.76,,,40.7
141Ce,32.50 d,gamma_xray,48.2,,,145.4
144Ce,284.3 d,beta,19.58,49.4,181.9,
144Ce,284.3 d,beta,4.6,65.3,235.3,
144Ce,284.3 d,beta,75.82,90.2,315.4,
144Ce,284.3 d,conversion_auger_electron,3.48,,,38.1
144Ce,284.3 d,conversion_auger_electron,5.33,,,91.5
144Ce,continued,gamma_xray,2.96,,,35.6
144Ce,continued,gamma_xray,5.4,,,36
144Ce,continued,gamma_xray,1.07,,,40.7
144Ce,continued,gamma_xray,1.64,,,80.1
144Ce,continued,gamma_xray,10.8,,,133.5
144Pr,17.28 min,beta,1.08,266.9,811.3,
144Pr,17.28 min,beta,1.17,894.7,2300.5,
144Pr,17.28 min,beta,97.74,1221.7,2997,
144Pr,17.28 min,gamma_xray,1.48,,,696.5
147Pm,2.6234 y,beta,99.99,62,224.7,
169Yb,32.022 d,conversion_auger_electron,7.14,,,10.6
169Yb,32.022 d,conversion_auger_electron,1.89,,,18.9
169Yb,32.022 d,conversion_auger_electron,8.38,,,34.2
169Yb,32.022 d,conversion_auger_electron,1.26,,,39.5
169Yb,32.022 d,conversion_auger_electron,2.09,,,40.9
169Yb,32.022 d,conversion_auger_electron,1.12,,,47.3
169Yb,32.022 d,conversion_auger_electron,1.35,,,48.8
169Yb,32.022 d,conversion_auger_electron,34.85,,,50.4
169Yb,32.022 d,conversion_auger_electron,3.9,,,53
169Yb,32.022 d,conversion_auger_electron,1.43,,,53.5
169Yb,32.022 d,conversion_auger_electron,1.79,,,54.5
169Yb,32.022 d,conversion_auger_electron,1.33,,,58.8
169Yb,32.022 d,conversion_auger_electron,1.58,,,61.2
169Yb,32.022 d,conversion_auger_electron,6.07,,,71.1
169Yb,32.022 d,conversion_auger_electron,1.15,,,83.5
169Yb,32.022 d,conversion_auger_electron,4.78,,,99.7
169Yb,32.022 d,conversion_auger_electron,1.26,,,107.9
169Yb,32.022 d,conversion_auger_electron,10.3,,,117.8
169Yb,32.022 d,conversion_auger_electron,2.44,,,120.9
169Yb,32.022 d,conversion_auger_electron,2.14,,,121.9
169Yb,32.022 d,conversion_auger_electron,1.25,,,128.6
169Yb,32.022 d,conversion_auger_electron,12.79,,,138.6
169Yb,32.022 d,conversion_auger_electron,1.39,,,167.1
169Yb,32.022 d,conversion_auger_electron,1.74,,,187.8
169Yb,32.022 d,gamma_xray,53,,,49.8
169Yb,32.022 d,gamma_xray,93.73,,,50.7
169Yb,32.022 d,gamma_xray,9.94,,,57.3
169Yb,32.022 d,gamma_xray,19.17,,,57.5
169Yb,32.022 d,gamma_xray,8.2,,,59.1
169Yb,32.022 d,gamma_xray,43.74,,,63.1
169Yb,32.022 d,gamma_xray,2.66,,,93.6
169Yb,32.022 d,gamma_xray,17.37,,,109.8
169Yb,32.022 d,gamma_xray,1.88,,,118.2
169Yb,32.022 d,gamma_xray,11.11,,,130.5
169Yb,32.022 d,gamma_xray,21.45,,,177.2
169Yb,32.022 d,gamma_xray,34.94,,,198
169Yb,32.022 d,gamma_xray,1.9,,,261.1
169Yb,32.022 d,gamma_xray,10.8,,,307.7
198Au,2.696 d,beta,1.3,79.4,284.8,
198Au,2.696 d,beta,98.68,314.5,960.7,
198Au,2.696 d,conversion_auger_electron,2.88,,,328.7
198Au,2.696 d,gamma_xray,1.38,,,70.8
198Au,2.696 d,gamma_xray,95.51,,,411.8
198Au,2.696 d,gamma_xray,1.06,,,675.9
197Hg,64.1 h,conversion_auger_electron,8.88,,,11.1
197Hg,64.1 h,conversion_auger_electron,3.57,,,11.2
197Hg,64.1 h,conversion_auger_electron,2.93,,,11.8
197Hg,64.1 h,conversion_auger_electron,1.42,,,13
197Hg,64.1 h,conversion_auger_electron,31.98,,,63
197Hg,64.1 h,conversion_auger_electron,14.91,,,63.6
197Hg,64.1 h,conversion_auger_electron,10.91,,,65.4
197Hg,64.1 h,conversion_auger_electron,14.03,,,74.6
197Hg,64.1 h,conversion_auger_electron,4.39,,,77.3
197Hg,64.1 h,gamma_xray,1.81,,,11.2
197Hg,64.1 h,gamma_xray,12.84,,,11.4
197Hg,64.1 h,gamma_xray,4.39,,,11.6
197Hg,64.1 h,gamma_xray,2.31,,,11.6
197Hg,64.1 h,gamma_xray,2.57,,,13.4
197Hg,64.1 h,gamma_xray,20.47,,,67
197Hg,64.1 h,gamma_xray,34.96,,,68.8
197Hg,64.1 h,gamma_xray,18,,,77.3
197Hg,64.1 h,gamma_xray,4.14,,,77.6
197Hg,64.1 h,gamma_xray,7.94,,,78
197Hg,64.1 h,gamma_xray,3.27,,,80.2
203Hg,46.612 d,beta,100,57.8,212.6,
203Hg,46.612 d,conversion_auger_electron,13.8,,,193.7
203Hg,46.612 d,conversion_auger_electron,2.07,,,263.8
203Hg,46.612 d,conversion_auger_electron,1.05,,,264.5
203Hg,46.612 d,gamma_xray,2.17,,,10.3
203Hg,46.612 d,gamma_xray,1.62,,,12.2
203Hg,46.612 d,gamma_xray,3.86,,,70.8
203Hg,46.612 d,gamma_xray,6.53,,,72.9
203Hg,46.612 d,gamma_xray,1.49,,,82.6
203Hg,46.612 d,gamma_xray,81.46,,,279.2
201Tl,73.1 h,conversion_auger_electron,7.09,,,11.5
201Tl,73.1 h,conversion_auger_electron,3.23,,,11.5
201Tl,73.1 h,conversion_auger_electron,1.55,,,12.1
201Tl,73.1 h,conversion_auger_electron,1.14,,,13.4
201Tl,73.1 h,conversion_auger_electron,7.3,,,15.8
201Tl,73.1 h,conversion_auger_electron,6.28,,,17.4
201Tl,73.1 h,conversion_auger_electron,1.9,,,27.8
201Tl,73.1 h,conversion_auger_electron,1.63,,,29.3
201Tl,73.1 h,conversion_auger_electron,7.47,,,52.2
201Tl,73.1 h,conversion_auger_electron,15.44,,,84.3
201Tl,73.1 h,conversion_auger_electron,1.14,,,120.5
201Tl,73.1 h,conversion_auger_electron,2.35,,,152.6
201Tl,73.1 h,gamma_xray,1.21,,,11.6
201Tl,73.1 h,gamma_xray,10.55,,,11.8
201Tl,73.1 h,gamma_xray,4.19,,,11.9
201Tl,73.1 h,gamma_xray,1.51,,,12
201Tl,73.1 h,gamma_xray,2.15,,,13.8
201Tl,73.1 h,gamma_xray,27.15,,,68.9
201Tl,73.1 h,gamma_xray,46.18,,,70.8
201Tl,73.1 h,gamma_xray,5.48,,,79.8
201Tl,73.1 h,gamma_xray,10.53,,,80.3
201Tl,73.1 h,gamma_xray,4.43,,,82.6
201Tl,73.1 h,gamma_xray,2.65,,,135.3
201Tl,73.1 h,gamma_xray,10,,,167.4
204Tl,3.779 y,beta,97.42,243.9,763.4,
208Tl,3.053 min,beta,3.11,340.9,1033,
208Tl,3.053 min,beta,24.66,439.4,1285.6,
208Tl,3.053 min,beta,21.94,533.2,1518.9,
208Tl,3.053 min,beta,49.01,647.2,1796.3,
208Tl,3.053 min,conversion_auger_electron,1.27,,,10.1
208Tl,3.053 min,conversion_auger_electron,2.84,,,189.4
208Tl,3.053 min,conversion_auger_electron,1.97,,,422.8
208Tl,3.053 min,conversion_auger_electron,1.28,,,495.2
208Tl,3.053 min,gamma_xray,1.23,,,10.6
208Tl,3.053 min,gamma_xray,2.23,,,72.8
208Tl,3.053 min,gamma_xray,3.76,,,75
208Tl,3.053 min,gamma_xray,6.31,,,277.4
208Tl,3.053 min,gamma_xray,22.61,,,510.8
208Tl,3.053 min,gamma_xray,84.48,,,583.2
208Tl,3.053 min,gamma_xray,1.81,,,763.1
208Tl,3.053 min,gamma_xray,12.42,,,860.6
208Tl,3.053 min,gamma_xray,99.16,,,2614.5
210Pb,22.3 y,beta,80,4.14,16.5,
210Pb,22.3 y,beta,20,16.1,63,
210Pb,continued,conversion_auger_electron,8.25,,,10.3
210Pb,continued,conversion_auger_electron,2.94,,,10.6
210Pb,continued,conversion_auger_electron,1.42,,,12.5
210Pb,continued,conversion_auger_electron,2.39,,,12.6
210Pb,continued,conversion_auger_electron,2.14,,,13.3
210Pb,continued,conversion_auger_electron,51.9,,,30.1
210Pb,continued,conversion_auger_electron,5.43,,,30.8
210Pb,continued,conversion_auger_electron,13.6,,,43.3
210Pb,continued,conversion_auger_electron,4.6,,,46.5
210Pb,continued,gamma_xray,8.37,,,10.8
210Pb,continued,gamma_xray,2.13,,,12.7
210Pb,continued,gamma_xray,2.09,,,13
210Pb,continued,gamma_xray,4.11,,,13
210Pb,continued,gamma_xray,2.46,,,13.2
210Pb,continued,gamma_xray,4.05,,,46.5
212Pb,10.64 h,beta,5.08,41.9,157.5,
212Pb,10.64 h,beta,82.98,94.4,334.2,
212Pb,10.64 h,beta,11.77,172.6,572.8,
212Pb,10.64 h,conversion_auger_electron,5.76,,,10.3
212Pb,10.64 h,conversion_auger_electron,2.19,,,12.6
212Pb,10.64 h,conversion_auger_electron,3.42,,,24.7
212Pb,10.64 h,conversion_auger_electron,32.32,,,148.1
212Pb,10.64 h,conversion_auger_electron,1.29,,,209.6
212Pb,10.64 h,conversion_auger_electron,5.04,,,222.2
212Pb,10.64 h,conversion_auger_electron,1.32,,,235.5
212Pb,continued,gamma_xray,5.84,,,10.8
212Pb,continued,gamma_xray,1.46,,,13
212Pb,continued,gamma_xray,3.75,,,13
212Pb,continued,gamma_xray,10.42,,,74.8
212Pb,continued,gamma_xray,17.51,,,77.1
212Pb,continued,gamma_xray,2.08,,,86.8
212Pb,continued,gamma_xray,3.99,,,87.3
212Pb,continued,gamma_xray,1.84,,,89.9
212Pb,continued,gamma_xray,43.65,,,238.6
212Pb,continued,gamma_xray,3.34,,,300.1
214Pb,26.8 min,beta,2.52,49.7,184.9,
214Pb,26.8 min,beta,48.1,207.2,672.1,
214Pb,26.8 min,beta,42.12,227.4,728.8,
214Pb,26.8 min,beta,6.29,336.7,1024,
214Pb,26.8 min,conversion_auger_electron,5.06,,,10.3
214Pb,26.8 min,conversion_auger_electron,1.79,,,12.6
214Pb,26.8 min,conversion_auger_electron,9.5,,,36.8
214Pb,26.8 min,conversion_auger_electron,2.48,,,50
214Pb,26.8 min,conversion_auger_electron,5.32,,,151.4
214Pb,26.8 min,conversion_auger_electron,7.43,,,204.6
214Pb,26.8 min,conversion_auger_electron,9.48,,,261.4
214Pb,26.8 min,conversion_auger_electron,1.16,,,278.8
214Pb,26.8 min,conversion_auger_electron,1.47,,,335.5
214Pb,26.8 min,gamma_xray,5.13,,,10.8
214Pb,26.8 min,gamma_xray,1.28,,,13
214Pb,26.8 min,gamma_xray,3.08,,,13
214Pb,26.8 min,gamma_xray,1.1,,,53.2
214Pb,26.8 min,gamma_xray,6.39,,,74.8
214Pb,26.8 min,gamma_xray,10.73,,,77.1
214Pb,26.8 min,gamma_xray,1.28,,,86.8
214Pb,26.8 min,gamma_xray,2.45,,,87.3
214Pb,26.8 min,gamma_xray,1.13,,,89.9
214Pb,26.8 min,gamma_xray,7.46,,,241.9
214Pb,26.8 min,gamma_xray,19.17,,,295.2
214Pb,26.8 min,gamma_xray,37.06,,,351.9
214Pb,26.8 min,gamma_xray,1.09,,,785.9
210Bi,5.013 d,beta,100,388.9,1161.4,
212Bi,60.55 min,alpha,25.24,,,6050.9
212Bi,60.55 min,alpha,9.64,,,6090
212Bi,60.55 min,beta,1.89,190.5,625.4,
212Bi,60.55 min,beta,1.46,228.6,733.3,
212Bi,60.55 min,beta,4.49,530.6,1518.8,
212Bi,60.55 min,beta,55.3,831.5,2246,
212Bi,60.55 min,conversion_auger_electron,18.25,,,24.5
212Bi,60.55 min,conversion_auger_electron,1.87,,,25.2
212Bi,60.55 min,conversion_auger_electron,4.73,,,36.9
